gene_id	1-TCGA-59-A5PD-01A-11R-A406-31	2-TCGA-OY-A56Q-01A-11R-A406-31	2-TCGA-61-2012-01A-01R-1568-13	2-TCGA-24-1556-01A-01R-1566-13	2-TCGA-3P-A9WA-01A-11R-A406-31	2-TCGA-04-1362-01A-01R-1565-13	2-TCGA-09-2044-01B-01R-1568-13	3-TCGA-24-1567-01A-01R-1566-13	3-TCGA-09-1670-01A-01R-1566-13	3-TCGA-23-1027-01A-02R-1564-13	3-TCGA-29-1785-01A-01R-1567-13	3-TCGA-13-1481-01A-01R-1565-13	3-TCGA-13-0916-01A-01R-1564-13	4-TCGA-13-1511-01A-01R-1565-13	4-TCGA-13-1405-01A-01R-1565-13	4-TCGA-24-1417-01A-01R-1565-13	4-TCGA-59-2350-01A-01R-1569-13	4-TCGA-25-2397-01A-01R-1569-13	4-TCGA-23-2084-01A-02R-1568-13
BCO2	4.64571	4.11233	3.30543	4.27578	5.45959	4.02569	2.13815	2.20575	4.35635	4.78129	2.77394	3.50307	4.78129	3.90343	3.83617	4.33751	3.4995	3.82533	4.28426
BCORL1	7.95718	7.52672	7.61678	7.9505	8.15076	7.59085	8.10561	8.22978	7.84071	7.3696	6.88346	7.54115	7.64779	7.6212	8.30276	7.19669	8.17892	7.06305	7.71334
BCORL2	0	0	0	0.145926	0	0	0	0.291851	0	0.824007	0	0	0	0	0	0	0	0	0
BCOR	8.7889	8.21555	7.92154	8.6945	9.75319	8.47052	7.87207	8.61486	8.43446	8.08333	7.43544	8.28375	8.79573	8.01599	8.21501	7.97316	8.64787	7.2717	8.80687
BCR	8.52576	8.57565	8.04623	9.22098	9.98737	8.67454	8.86064	8.93709	8.48879	8.84333	7.8774	8.85424	8.46758	9.47693	9.33891	7.92552	8.86715	7.98582	8.57584
BCS1L	7.41941	7.84411	6.76113	7.91072	6.79002	7.15618	7.68493	7.08818	7.74328	8.14151	6.76914	7.21674	7.92658	7.29523	7.20294	7.44901	7.03009	7.20266	7.24793
BCYRN1	0	0	0	0.145926	0	0	0	0.291851	0	0.821189	0	0	0	0	0	0	0	0	0
BDH1	8.98419	7.86096	7.61036	8.1194	8.60392	8.08086	9.12565	7.44775	8.24748	7.33563	5.26269	7.78531	8.33783	6.87316	7.7293	7.98446	7.83241	8.11103	7.59438
BDH2	6.99577	7.32251	6.24222	7.0184	6.98841	5.51745	6.61204	6.63595	6.89669	7.27794	7.14756	6.98841	7.43248	6.86066	7.18007	6.73102	6.69084	6.30079	6.65544
BDKRB1	3.76575	0.89035	2.54777	3.9697	3.56684	2.69709	3.08363	0.291851	2.6952	3.41985	1.7703	4.76303	2.28677	3.34747	3.29994	4.1153	1.57685	1.09921	3.64825
